periodo,variable,media,mediana,desv_est,minimo,maximo
Initial,visits,1055.2142857142858,899,355.0332982371412,626,1632
Initial,unique_visits,975.9285714285714,845.5,319.5972138815968,594,1509
Initial,revenue,608250.123,586169.6645,155930.39724628392,274567.61199999996,890076.65
Initial,profit,200233.40714285715,208913,60691.55322410657,62580.4,275218.1
Initial,lbs_sold,18736.7285,17269.6965,5427.392718215,8633.059,28052.924000000003
Pre-Promotion,visits,562.952380952381,558,80.87117916197104,383,795
Pre-Promotion,unique_visits,516.8095238095239,510,70.93914226125028,366,734
Pre-Promotion,revenue,534313.5173809524,534541.676,150502.8202888277,315647.109,951216.164
Pre-Promotion,profit,159932.03333333333,152476.4,42682.68394601414,100388.4,273174.7
Pre-Promotion,lbs_sold,18440.774285714284,17215.118000000002,5965.629539828073,8992.422,31968.976
Promotion,visits,1814.3529411764705,1663,758.1016539007542,1000,3726
Promotion,unique_visits,1738.8235294117646,1585,743.0253390105647,930,3617
Promotion,revenue,456398.848,413937.07999999996,161741.098932811,268159.51300000004,897163.7119999999
Promotion,profit,131929.9,114328.4,47776.847073124765,81841.4,266476.7
Promotion,lbs_sold,17112.923,17299.115000000005,6519.071442068589,7814.05,31496.256999999998
Post-Promotion,visits,856.5714285714286,847.5,70.88855206016564,772,963
Post-Promotion,unique_visits,800.7857142857143,800,72.3561475474758,709,912
Post-Promotion,revenue,371728.01678571425,348397.09049999993,145728.33360269666,133966.902,615950.171
Post-Promotion,profit,111045.82142857142,104530.45,49065.27206901464,32825.299999999996,206441.19999999998
Post-Promotion,lbs_sold,14577.793857142857,13646.894499999999,5941.556046363208,3825.748,23761.613999999998
