titulo,categoria,visits,participacion
All Traffic Sources,Referring Sites,38754,55.8
All Traffic Sources,Search Engines,20964,30.2
All Traffic Sources,Direct Traffic,9709,14
Top Ten Browsers Used,Internet Explorer,53080,76.5
Top Ten Browsers Used,Firefox,13142,18.9
Top Ten Browsers Used,Opera,938,1.4
Top Ten Geographic Sources by Sub Continent Region,South America,22616,34.5
Top Ten Geographic Sources by Sub Continent Region,Northern America,17509,26.7
Top Ten Geographic Sources by Sub Continent Region,Central America,6776,10.3
Top Ten Operating Systems Used,Windows,67063,96.6
Top Ten Operating Systems Used,Macintosh,1184,1.7
Top Ten Operating Systems Used,Linux,1045,1.5
Top Ten Referring Sites,googleads.g.doubleclick.net,15626,52.4
Top Ten Referring Sites,pagead2.googlesyndication.com,8044,27
Top Ten Referring Sites,sedoparking.com,3138,10.5
Top Ten Search Engine Sources of Visits,google,17681,84.7
Top Ten Search Engine Sources of Visits,yahoo,1250,6
Top Ten Search Engine Sources of Visits,search,592,2.8
